course_code,course_title,section,grades_count,avg_gpa,std_dev,median_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,pct_P,pct_I,pct_AU,pct_W_AW,letters_count,term,faculty
PETE 202,Transport Phenomena,1L,32,2.7,0.89,2.67,25.0,43.8,18.8,12.5,0.0,0.0,0.0,0.0,0.0,32,SP2025,Peyman Pourafshary
PETE 203,Drilling Engineering with Laboratories,1L,31,3.18,0.74,3.33,45.2,35.5,16.1,3.2,0.0,0.0,0.0,0.0,0.0,31,SP2025,Irawan Sonny
PETE 204,Reservoir Rock and Fluid Properties with Lab,1L,28,2.48,0.88,2.33,10.3,34.5,41.4,6.9,3.4,0.0,0.0,0.0,3.4,29,SP2025,Ali  Shafiei
PETE 305,Well Test Analysis,1L,20,2.47,0.78,2.67,5.0,50.0,35.0,5.0,5.0,0.0,0.0,0.0,0.0,20,SP2025,Masoud Riazi
PETE 306,Reservoir Engineering II,1L,17,2.61,0.82,2.67,11.8,58.8,17.6,11.8,0.0,0.0,0.0,0.0,0.0,17,SP2025,Randy Hazlett
PETE 307,Production Engineering,1L,18,3.35,0.46,3.33,38.9,55.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,18,SP2025,Shams Kalam
PETE 311,Reservoir Simulation,1L,20,3.25,0.51,3.33,30.0,55.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20,SP2025,Mian Umer Shafiq
PETE 404,Petroleum Geomechanics,1L,20,2.58,0.46,2.67,0.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,20,SP2025,Ali  Shafiei
PETE 407,Capstone Design Project II,1IS,17,3.61,0.13,3.67,82.4,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,SP2025,Masoud Riazi
GEOL 101,Fundamentals of Geology,1L,61,2.48,1.14,2.67,21.5,30.8,24.6,7.7,9.2,0.0,0.0,0.0,6.2,65,SP2025,George Mathews
GEOL 103,Introduction to Geology,1L,191,2.92,0.82,3.0,20.5,39.7,19.7,1.7,1.7,0.0,0.0,0.0,16.6,229,SP2025,George Mathews
GEOL 204,Sedimentology and strartigraphy,1L,15,3.16,1.19,3.67,60.0,20.0,6.7,6.7,6.7,0.0,0.0,0.0,0.0,15,SP2025,Milovan Fustic
GEOL 205,Paleontology,1L,14,2.78,1.29,3.33,21.4,57.1,7.1,0.0,14.3,0.0,0.0,0.0,0.0,14,SP2025,Altynay Kazhkenova
GEOL 301,Igneous and metamorphic petrology,1L,13,2.82,0.62,3.0,0.0,69.2,30.8,0.0,0.0,0.0,0.0,0.0,0.0,13,SP2025,Kamal Regmi
GEOL 304,Geophysics,1L,12,3.17,0.56,3.16,33.3,58.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,12,SP2025,Mahmoud Leila
GEOL 306,Geodynamics,1L,13,3.44,0.58,3.67,53.8,38.5,7.7,0.0,0.0,0.0,0.0,0.0,0.0,13,SP2025,Sebastianus Willem Josef Den Brok
GEOL 307,Geographic Information Systems,1L,12,3.64,0.36,3.67,58.3,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,SP2025,Emil Bayramov
GEOL 308,Environmental Geochemistry,1L,9,3.89,0.24,4.0,80.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10,SP2025,Azam Soltani Dehnavi
GEOL 309,Hydrogeology,1L,16,3.04,0.52,3.16,18.8,62.5,18.8,0.0,0.0,0.0,0.0,0.0,0.0,16,SP2025,Marzhan Baigaliyeva
GEOL 403,Geostatistics,1L,8,3.75,0.3,3.84,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,SP2025,Emil Bayramov
GEOL 411,Photography for Geosciences,1L,6,3.67,0.3,3.67,66.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,SP2025,Sebastianus Willem Josef Den Brok
MINE 201,Mineral Processing,1L,11,3.12,0.43,3.0,27.3,72.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,SP2025,Ata Akcil
MINE 303,Mine Services and Materials Handling,1L,9,3.45,0.55,3.67,55.6,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,SP2025,Amoussou Coffi Adoko
MINE 304,Resource Estimation,1L,10,2.6,1.18,2.84,30.0,30.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,10,SP2025,Nasser Madaniesfahani
MINE 306,Underground Mining Systems and Design,1L,12,2.55,0.89,2.5,16.7,33.3,33.3,16.7,0.0,0.0,0.0,0.0,0.0,12,SP2025,Fidelis Suorineni
MINE 307,Surface Mining System and Design,1L,10,3.27,0.56,3.33,30.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10,SP2025,Ali Mortazavi
MINE 310,Rock Breakage,1L,10,2.9,0.63,3.16,10.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10,SP2025,Saffet Yagiz
MINE 404,"Health, Safety and Sustainability in Mining",1L,11,3.03,0.77,3.33,27.3,63.6,0.0,9.1,0.0,0.0,0.0,0.0,0.0,11,SP2025,Sergei Sabanov
MINE 480,Mine Design Project,1L,6,1.44,0.89,1.5,0.0,0.0,50.0,33.3,16.7,0.0,0.0,0.0,0.0,6,SP2025,Sergei Sabanov
SMG 400,Engineering Economics,1L,20,2.87,0.79,3.16,15.0,55.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,20,SP2025,Zauresh Atakhanova
NUR 122,English-Russian-Kazakh Medical Terminology,1L,6,3.11,0.4,3.33,0.0,83.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,6,SP2025,Nancy Stitt
NUR 122,English-Russian-Kazakh Medical Terminology,1L,6,3.11,0.4,3.33,0.0,83.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,6,SP2025,Ainetta Nurmagambetova
NUR 122,English-Russian-Kazakh Medical Terminology,1L,6,3.11,0.4,3.33,0.0,83.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,6,SP2025,Ruslan Bilal
